catch_terms,recode_column,organization_name,domains,country,to_edit,dataset,parent_org,org_type
korea differently abled women united,korea differently abled women united,Korea Differently Abled Women United,,,,NGO List,,
korea disability law association,korea disability law association,Korea Disability Law Association,,,,NGO List,,
korea employment security association for the disabled,korea employment security association for the disabled,Korea Employment Security Association for the Disabled,,,,NGO List,,
korea federation of organizations of the disabled,korea federation of organizations of the disabled,Korea Federation of Organizations of the Disabled,,,,NGO List,,
korean network for accessible tourism,korean network for accessible tourism,Korean Network for Accessible Tourism,,,,NGO List,,
korean society for rehabilitation of persons with disabilities,korean society for rehabilitation of persons with disabilities,Korean Society for Rehabilitation of Persons with Disabilities,,,,NGO List,,
korea spinal cord injury association,korea spinal cord injury association,Korea Spinal Cord Injury Association,,,,NGO List,,
koshish: national mental health selfhelp organisation,koshish: national mental health selfhelp organisation,Koshish: National Mental Health Self-help Organisation,,,,NGO List,,
kpakpando foundation for physically challenged persons,kpakpando foundation for physically challenged persons,Kpakpando Foundation for Physically Challenged Persons,,,,NGO List,,
kuwaiti society for guardians of the disabled,kuwaiti society for guardians of the disabled,Kuwaiti Society for Guardians of the Disabled,,,,NGO List,,
lakeshore foundation,lakeshore foundation,Lakeshore Foundation,,,,NGO List,,
landmine survivors network,landmine survivors network,Landmine Survivors Network,,,,NGO List,,
latin american blind union,latin american blind union,Latin American Blind Union,,,,NGO List,,
latin american network of nongovernmental organizations of persons with disabilities and their families,latin american network of nongovernmental organizations of persons with disabilities and their families,Latin American Network of Non-Governmental Organizations of Persons with Disabilities and their Families,,,,NGO List,,
lebanese physical handicapped union,lebanese physical handicapped union,Lebanese Physical Handicapped Union,,,,NGO List,,
lebanese welfare association for the handicapped,lebanese welfare association for the handicapped,Lebanese Welfare Association for the Handicapped,,,,NGO List,,
leonard cheshire international,leonard cheshire international,Leonard Cheshire International,,,,NGO List,,
lesotho national league of the visually impaired persons,lesotho national league of the visually impaired persons,Lesotho National League of the Visually Impaired Persons,,,,NGO List,,
life vanguards,life vanguards,Life Vanguards,,,,NGO List,,
lift up care for the needy foundation,lift up care for the needy foundation,Lift Up Care for the Needy Foundation,,,,NGO List,,
light for the world,light for the world,Light for the World,,,,NGO List,,
little people of kosova,little people of kosova,Little People of Kosova,,,,NGO List,,
lotos disability awareness and learning center,lotos disability awareness and learning center,LOTOS Disability Awareness and Learning Center,,,,NGO List,,
lumos foundation,lumos foundation,Lumos Foundation,,,,NGO List,,
march of dimes canada,march of dimes canada,March of Dimes Canada,,,,NGO List,,
manasa,manasa,Manasa,,,,NGO List,,
markaz‚Äêe‚Äêumeed for special needs children ‚Äê pakistan,markaz‚Äêe‚Äêumeed for special needs children ‚Äê pakistan,Markaz‚Äêe‚ÄêUmeed for Special Needs Children ‚Äê Pakistan,,,1,NGO List,,
mental disability advocacy centre,mental disability advocacy centre,Mental Disability Advocacy Centre,,,,NGO List,,
mental disability rights international,mental disability rights international,Mental Disability Rights International,,,,NGO List,,
mine and weapon victims association,mine and weapon victims association,Mine and Weapon Victims Association,,,,NGO List,,
mine combat organization,mine combat organization,Mine Combat Organization,,,,NGO List,,
mobile theatre cultural society,mobile theatre cultural society,Mobile Theatre Cultural Society,,,,NGO List,,
muscle disabilities association of korea,muscle disabilities association of korea,Muscle Disabilities Association of Korea,,,,NGO List,,
national association of disabled people of angola,national association of disabled people of angola,National Association of Disabled People of Angola,,,,NGO List,,
national centre for persons with disabilities,national centre for persons with disabilities,National Centre for Persons with Disabilities,,,,NGO List,,
national council of and for persons with disabilities inc  st  lucia,national council of and for persons with disabilities inc  st  lucia,National Council of and for Persons with Disabilities Inc. St. Lucia,,,,NGO List,,
national federation of organizations of persons with disabilities of honduras,national federation of organizations of persons with disabilities of honduras,National Federation of Organizations of Persons with Disabilities of Honduras,,,,NGO List,,
national federation of the blind,national federation of the blind,National Federation of the Blind,,,,NGO List,,
national forum of organizations working with the disabled,national forum of organizations working with the disabled,National Forum of Organizations Working with the Disabled,,,,NGO List,,
national grassroots disability organization,national grassroots disability organization,National Grassroots Disability Organization,,,,NGO List,,
national rehabilitation and deveopment center,national rehabilitation and deveopment center,National Rehabilitation and Deveopment Center,,,,NGO List,,
national union of organizations of the disabled,national union of organizations of the disabled,National Union of Organizations of the Disabled,,,,NGO List,,
national union of people with disabilities of tajikistan,national union of people with disabilities of tajikistan,National Union of People with Disabilities of Tajikistan,,,,NGO List,,
neighbour organization,neighbour organization,Neighbour Organization,,,,NGO List,,
neil squire society,neil squire society,Neil Squire Society,,,,NGO List,,
nepal disabled human rights center,nepal disabled human rights center,Nepal Disabled Human Rights Center,,,,NGO List,,
nepal disabled women association,nepal disabled women association,Nepal Disabled Women Association,,,,NGO List,,
nepal national federation of the deaf and hard of hearing,nepal national federation of the deaf and hard of hearing,Nepal National Federation of the Deaf and Hard of Hearing,,,,NGO List,,
nepal association of the blind,nepal association of the blind,Nepal Association of the Blind,,,,NGO List,,
network forum for women with disability,network forum for women with disability,Network Forum for Women with Disability,,,,NGO List,,
network of accessible environments for all,network of accessible environments for all,Network of Accessible Environments for All,,,,NGO List,,
network of organizations working with people with disabilities pakistan,network of organizations working with people with disabilities pakistan,"Network of Organizations Working with People with Disabilities, Pakistan",,,,NGO List,,
new south wales consumer advisory group,new south wales consumer advisory group,New South Wales Consumer Advisory Group,,,,NGO List,,
new south wales council for intellectual disability,new south wales council for intellectual disability,New South Wales Council for Intellectual Disability,,,,NGO List,,
new world hope organization,new world hope organization,New World Hope Organization,,,,NGO List,,
noor fatima welfare trust,noor fatima welfare trust,Noor Fatima Welfare Trust,,,,NGO List,,
northeastern university center for the study of sport in society,northeastern university center for the study of sport in society,"Northeastern University, Center for the Study of Sport in Society",,,,NGO List,,
nurses across the borders,nurses across the borders,Nurses Across the Borders,,,,NGO List,,
one billion strong,one billion strong,One Billion Strong,,,,NGO List,,
orange penguin foundation,orange penguin foundation,Orange Penguin Foundation,,,,NGO List,,
organisation constellee pour le developpement economique et social de la communedes des gonaives,organisation constellee pour le developpement economique et social de la communedes des gonaives,Organisation Constellee Pour le Developpement Economique et Social de la Communedes des Gonaives,,,,NGO List,,
organisation sociale pour la protection des personnes handicapées ds'ha√Øti,organisation sociale pour la protection des personnes handicapées ds'ha√Øti,Organisation sociale pour la protection des personnes handicapées ds'Ha√Øti,,,1,NGO List,,
pakistan community peace foundation,pakistan community peace foundation,Pakistan Community Peace Foundation,,,,NGO List,,
partnership for inclusive disaster strategies,partnership for inclusive disaster strategies,Partnership for Inclusive Disaster Strategies,,,,NGO List,,
passionists international,passionists international,Passionists International,,,,NGO List,,
pax christi international international catholic peace movement,pax christi international international catholic peace movement,"Pax Christi International, International Catholic Peace Movement",,,,NGO List,,
peace and tolerance international organization,peace and tolerance international organization,Peace and Tolerance International Organization,,,,NGO List,,
people first of canada,people first of canada,People First of Canada,,,,NGO List,,
people who,people who,People Who,,,,NGO List,,
people with disabilities in ireland,people with disabilities in ireland,People with Disabilities in Ireland,,,,NGO List,,
people with disabilities uganda,people with disabilities uganda,People with Disabilities Uganda,,,,NGO List,,
people with disability australia incorporated,people with disability australia incorporated,People with Disability Australia Incorporated,,,,NGO List,,
perkins school for the blind,perkins school for the blind,Perkins School for the Blind,,,,NGO List,,
persons with pain international,persons with pain international,Persons With Pain International,,,,NGO List,,
physicallychallenged development foundation,physicallychallenged development foundation,Physically-challenged Development Foundation,,,,NGO List,,
pineda foundation for youth|victor pineda foundation,pineda foundation for youth|victor pineda foundation,Pineda Foundation for Youth|Victor Pineda Foundation,,,,NGO List,,
planwell group organization,planwell group organization,Planwell Group Organization,,,,NGO List,,
polio plus movement against disability,polio plus movement against disability,Polio Plus Movement Against Disability,,,,NGO List,,
potohar mental health association,potohar mental health association,Potohar Mental Health Association,,,,NGO List,,
pro infirmis,pro infirmis,Pro Infirmis,,,,NGO List,,
progetto filippide,progetto filippide,Progetto Filippide,,,,NGO List,,
projet de réadaptation √† base communautaire des aveugles et autres personnes handicapées du niger,projet de réadaptation √† base communautaire des aveugles et autres personnes handicapées du niger,Projet de Réadaptation √† Base Communautaire des Aveugles et Autres Personnes Handicapées du Niger,,,1,NGO List,,
psychological center for research,psychological center for research,Psychological Center for Research,,,,NGO List,,
public interest law center of philadelphia,public interest law center of philadelphia,Public Interest Law Center of Philadelphia,,,,NGO List,,
pugu poverty alleviation and development agency,pugu poverty alleviation and development agency,PUGU Poverty Alleviation and Development Agency,,,,NGO List,,
reclaiming our future alliance international committee,reclaiming our future alliance international committee,Reclaiming Our Future Alliance International Committee,,,,NGO List,,
red de asistencia legal y social,red de asistencia legal y social,Red de Asistencia Legal y Social,,,,NGO List,,
rehabilitation international,rehabilitation international,Rehabilitation International,,,,NGO List,,
réseau des associations des personnes handicapées,réseau des associations des personnes handicapées,Réseau des Associations des Personnes Handicapées,,,,NGO List,,
réseau guinéen des organisations des personnes handicapées pour la promotion de la cidph,réseau guinéen des organisations des personnes handicapées pour la promotion de la cidph,Réseau Guinéen des Organisations des Personnes Handicapées pour la Promotion de la CIDPH,,,,NGO List,,
rioinclui,rioinclui,RIOinclui,,,,NGO List,,
royal college of speech and language therapist,royal college of speech and language therapist,Royal College of Speech and Language Therapist,,,,NGO List,,
royal commonwealth society for the blind,royal commonwealth society for the blind,Royal Commonwealth Society for the Blind,,,,NGO List,,
ryan martin foundation,ryan martin foundation,Ryan Martin Foundation,,,,NGO List,,
san marino paralympic committee,san marino paralympic committee,San Marino Paralympic Committee,,,,NGO List,,
save the children,save the children,Save The Children,,,,NGO List,,
secretariat of the african decade of persons with disabilities,secretariat of the african decade of persons with disabilities,Secretariat of the African Decade of Persons with Disabilities,,,,NGO List,,
sense international,sense international,Sense International,,,,NGO List,,
seocho centre for independent living,seocho centre for independent living,Seocho Centre for Independent Living,,,,NGO List,,
setu development intervention centre,setu development intervention centre,Setu Development Intervention Centre,,,,NGO List,,
shanta memorial rehabilitation centre,shanta memorial rehabilitation centre,Shanta Memorial Rehabilitation Centre,,,,NGO List,,
sierra leone campus civitian international,sierra leone campus civitian international,Sierra Leone Campus Civitian International,,,,NGO List,,
society for mental health care,society for mental health care,Society for Mental Health Care,,,,NGO List,,
society of catholic social scientist inc ,society of catholic social scientist inc ,"Society of Catholic Social Scientist, Inc.",,,,NGO List,,
solar cookers international,solar cookers international,Solar Cookers International,,,,NGO List,,
somaliland national disability forum,somaliland national disability forum,Somaliland National Disability Forum,,,,NGO List,,
sos education,sos education,SOS Education,,,,NGO List,,
sozialhelden,sozialhelden,Sozialhelden,,,,NGO List,,
sourceamerica,sourceamerica,SourceAmerica,,,,NGO List,,
special abilities development association,special abilities development association,Special Abilities Development Association,,,,NGO List,,
statute of mine combat organization,statute of mine combat organization,Statute of Mine Combat Organization,,,,NGO List,,
sudan association for combating landmines,sudan association for combating landmines,Sudan Association for Combating Landmines,,,,NGO List,,
support coalition international,support coalition international,Support Coalition International,,,,NGO List,,
swedish disability federation,swedish disability federation,Swedish Disability Federation,,,,NGO List,,
tangata group,tangata group,Tangata Group,,,,NGO List,,
the cambodia trust,the cambodia trust,The Cambodia Trust,,,,NGO List,,
the family resource network inc ,the family resource network inc ,The Family Resource Network Inc.,,,,NGO List,,
the hong kong council of social services,the hong kong council of social services,The Hong Kong Council of Social Services,,,,NGO List,,
the israel human rights center for people with disabilities bizchut,the israel human rights center for people with disabilities bizchut,"The Israel Human Rights Center for People with Disabilities, Bizchut",,,,NGO List,,
the lucy foundation,the lucy foundation,The Lucy Foundation,,,,NGO List,,
the national society for children and adults with learning disabilities and their families,the national society for children and adults with learning disabilities and their families,The National Society for Children and Adults with Learning Disabilities and their Families,,,,NGO List,,
the national federation of the blind of the united kingdom,the national federation of the blind of the united kingdom,The National Federation of the Blind of the United Kingdom,,,,NGO List,,
the secretariat of the african decade of persons with disabilities,the secretariat of the african decade of persons with disabilities,The Secretariat of the African Decade of Persons with Disabilities,,,,NGO List,,
the society for the protection of unborn children,the society for the protection of unborn children,The Society for the Protection of Unborn Children,,,,NGO List,,
the speech pathology association of australia limited,the speech pathology association of australia limited,The Speech Pathology Association of Australia Limited,,,,NGO List,,
threshold association,threshold association,Threshold Association,,,,NGO List,,
tunisian association for the promotion of employment for the handicapped,tunisian association for the promotion of employment for the handicapped,Tunisian Association for the Promotion of Employment for the Handicapped,,,,NGO List,,
tunisian organization for defending the rights of persons with disabilities,tunisian organization for defending the rights of persons with disabilities,Tunisian Organization for Defending the Rights of Persons with Disabilities,,,,NGO List,,
turkey education and solidarity foundation for people with disabilities,turkey education and solidarity foundation for people with disabilities,Turkey Education and Solidarity Foundation for People with Disabilities,,,,NGO List,,
ucp wheels for humanity,ucp wheels for humanity,UCP Wheels for Humanity,,,,NGO List,,
union des personnes handicapées du burundi,union des personnes handicapées du burundi,Union des personnes handicapées du Burundi,,,,NGO List,,
union internationale des avocats international union of lawyers,union internationale des avocats international union of lawyers,Union Internationale des Avocats- International Union of Lawyers,,,,NGO List,,
union of the deaf bulgaria,union of the deaf bulgaria,Union of the Deaf Bulgaria,,,,NGO List,,
union of disabled people's organizations,union of disabled people's organizations,Union of Disabled People's Organizations,,,,NGO List,,
united disabled persons of kenya,united disabled persons of kenya,United Disabled Persons of Kenya,,,,NGO List,,
united kingdom disabled people's council|british council of disabled people,united kingdom disabled people's council|british council of disabled people,United Kingdom Disabled People's Council,,,,NGO List,,
united states burn support organization,united states burn support organization,United States Burn Support Organization,,,,NGO List,,
venture house,venture house,Venture House,,,,NGO List,,
ver foundation,ver foundation,Ver Foundation,,,,NGO List,,
vietnam veterans of america foundation,vietnam veterans of america foundation,Vietnam Veterans of America Foundation,,,,NGO List,,
vision for the blind sierra leone,vision for the blind sierra leone,Vision for the Blind Sierra Leone,,,,NGO List,,
voice of specially abled people inc ,voice of specially abled people inc ,Voice of Specially Abled People Inc.,,,,NGO List,,
wafunif,wafunif,WAFUNIF,,,,NGO List,,
wheelchairs of hope,wheelchairs of hope,Wheelchairs of Hope,,,,NGO List,,
women enabled international,women enabled international,Women Enabled International,,,,NGO List,,
women striving for brighter tomorrow,women striving for brighter tomorrow,Women Striving for Brighter Tomorrow,,,,NGO List,,
women with disabilities arts and cultural network,women with disabilities arts and cultural network,Women with Disabilities Arts and Cultural Network,,,,NGO List,,
women's refugee commission,women's refugee commission,Women's Refugee Commission,,,,NGO List,,
world blind union,world blind union,World Blind Union,,,,NGO List,,
world disability foundation,world disability foundation,World Disability Foundation,,,,NGO List,,
world federalist national association of nepal,world federalist national association of nepal,World Federalist National Association of Nepal,,,,NGO List,,
world federation of the deaf,world federation of the deaf,World Federation of the Deaf,,,,NGO List,,
world federation of the deafblind,world federation of the deafblind,World Federation of the Deafblind,,,,NGO List,,
world future council foundation,world future council foundation,World Future Council Foundation,,,,NGO List,,
world network of users and survivors of psychiatry,world network of users and survivors of psychiatry,World Network of Users and Survivors of Psychiatry,,,,NGO List,,
world of network of users and survivors of psychiatry,world of network of users and survivors of psychiatry,World of Network of Users and Survivors of Psychiatry,,,,NGO List,,
world union for progressive judiasm,world union for progressive judiasm,World Union for Progressive Judiasm,,,,NGO List,,
world youth alliance,world youth alliance,World Youth Alliance,,,,NGO List,,
worldwide organization for women,worldwide organization for women,Worldwide Organization for Women,,,,NGO List,,
yad sarah,yad sarah,Yad Sarah,,,,NGO List,,
young adult institute,young adult institute,Young Adult Institute,,,,NGO List,,
united way worldwide|united way,united way worldwide|united way,United Way Worldwide,,,,Top Charities List,,
feeding america,feeding america,Feeding America,,,,Top Charities List,,
task force for global health,task force for global health,Task Force for Global Health,,,,Top Charities List,,
salvation army,salvation army,Salvation Army,,,,Top Charities List,,
st. jude children's research hospital|st. jude's|st. judes,st. jude children's research hospital|st. jude's|st. judes,St. Jude Children's Research Hospital,,,,Top Charities List,,
red cross,red cross,International Committee of the Red Cross,,,,Top Charities List,,
direct relief,direct relief,Direct Relief,,,,Top Charities List,,
habitat for humanity international|habitat for humanity,habitat for humanity international|habitat for humanity,Habitat for Humanity International,,,,Top Charities List,,
ymca of the usa,ymca of the usa,YMCA of the USA,,,,Top Charities List,,
americares foundation|americares,americares foundation|americares,Americares Foundation,,,,Top Charities List,,
boys and girls clubs of america|boys and girls club|boys club|boy's club|girls club|girl's club,boys and girls clubs of america|boys and girls club|boys club|boy's club|girls club|girl's club,Boys & Girls Clubs of America,,,,Top Charities List,,
compassion international,compassion international,Compassion International,,,,Top Charities List,,
food for the poor,food for the poor,Food for the Poor,,,,Top Charities List,,
goodwill industries international|goodwill,goodwill industries international|goodwill,Goodwill Industries International,,,,Top Charities List,,
nature conservancy,nature conservancy,Nature Conservancy,,,,Top Charities List,,
lutheran services in america,lutheran services in america,Lutheran Services in America,,,,Top Charities List,,
american cancer society,american cancer society,American Cancer Society,,,,Top Charities List,,
catholic medical mission board,catholic medical mission board,Catholic Medical Mission Board,,,,Top Charities List,,
world vision,world vision,World Vision,,,,Top Charities List,,
step up for students,step up for students,Step Up for Students,,,,Top Charities List,,
catholic charities usa,catholic charities usa,Catholic Charities USA,,,,Top Charities List,,
samaritan's purse,samaritan's purse,Samaritan's Purse,,,,Top Charities List,,
american heart association,american heart association,American Heart Association,,,,Top Charities List,,
planned parenthood federation of america,planned parenthood federation of america,Planned Parenthood Federation of America,,,,Top Charities List,,
united states fund for unicef|unicef,united states fund for unicef|unicef,United States Fund for UNICEF,,,,Top Charities List,,
cru,cru,Cru,,,,Top Charities List,,
map international,map international,MAP International,,,,Top Charities List,,
mount sinai health systems|mount sanai,mount sinai health systems|mount sanai,Mount Sinai Health Systems,,,,Top Charities List,,
patient access network foundation,patient access network foundation,Patient Access Network Foundation,,,,Top Charities List,,
save the children federation|save the children,save the children federation|save the children,Save the Children Federation,,,,Top Charities List,,
mayo clinic,mayo clinic,Mayo Clinic,,,,Top Charities List,,
catholic relief services,catholic relief services,Catholic Relief Services,,,,Top Charities List,,
healthwell foundation,healthwell foundation,HealthWell Foundation,,,,Top Charities List,,
cross international,cross international,Cross International,,,,Top Charities List,,
entertainment industry foundation,entertainment industry foundation,Entertainment Industry Foundation,,,,Top Charities List,,
leukemia and lymphoma society,leukemia and lymphoma society,Leukemia & Lymphoma Society,,,,Top Charities List,,
dana farber cancer institute|dana farber,dana farber cancer institute|dana farber,Dana-Farber Cancer Institute,,,,Top Charities List,,
christian broadcasting network and operation blessing|christian broadcasting,christian broadcasting network and operation blessing|christian broadcasting,Christian Broadcasting Network & Operation Blessing,,,,Top Charities List,,
care usa,care usa,CARE USA,,,,Top Charities List,,
doctors without borders usa|doctors without borders,doctors without borders usa|doctors without borders,Doctors Without Borders USA,,,,Top Charities List,,
memorial sloan kettering cancer center|sloan kettering,memorial sloan kettering cancer center|sloan kettering,Memorial Sloan Kettering Cancer Center,,,,Top Charities List,,
make-a-wish foundation of america|make a wish,make-a-wish foundation of america|make a wish,Make-A-Wish Foundation of America,,,,Top Charities List,,
feed the children,feed the children,Feed the Children,,,,Top Charities List,,
jewish federation of metropolitan chicago,jewish federation of metropolitan chicago,Jewish Federation of Metropolitan Chicago,,,,Top Charities List,,
rotary foundation of rotary international|rotary foundation,rotary foundation of rotary international|rotary foundation,Rotary Foundation of Rotary International,,,,Top Charities List,,
shriners hospitals for children,shriners hospitals for children,Shriners Hospitals for Children,,,,Top Charities List,,
good 360,good 360,Good 360,,,,Top Charities List,,
carter center,carter center,Carter Center,,,,Top Charities List,,
wounded warrior project|wounded warrior,wounded warrior project|wounded warrior,Wounded Warrior Project,,,,Top Charities List,,
alzheimer's association,alzheimer's association,Alzheimer's Association,,,,Top Charities List,,
american kidney fund,american kidney fund,American Kidney Fund,,,,Top Charities List,,
international rescue committee,international rescue committee,International Rescue Committee,,,,Top Charities List,,
american civil liberties union and foundation,american civil liberties union and foundation,American Civil Liberties Union and Foundation,,,,Top Charities List,,
young life,young life,Young Life,,,,Top Charities List,,
marine toys for tots foundation|toys for tots,marine toys for tots foundation|toys for tots,Marine Toys for Tots Foundation,,,,Top Charities List,,
combined jewish philanthrophies,combined jewish philanthrophies,Combined Jewish Philanthrophies,,,,Top Charities List,,
special olympics,special olympics,Special Olympics,,,,Top Charities List,,
world wildlife fund,world wildlife fund,World Wildlife Fund,,,,Top Charities List,,
new york presbyterian hospital|new york presbyterian,new york presbyterian hospital|new york presbyterian,New York Presbyterian Hospital,,,,Top Charities List,,
population services international,population services international,Population Services International,,,,Top Charities List,,
american jewish joint distribution committee,american jewish joint distribution committee,American Jewish Joint Distribution Committee,,,,Top Charities List,,
disabled american veterans,disabled american veterans,Disabled American Veterans,,,,Top Charities List,,
united service organizations,united service organizations,United Service Organizations,,,,Top Charities List,,
american spca,american spca,American SPCA,,,,Top Charities List,,
houston food bank,houston food bank,Houston Food Bank,,,,Top Charities List,,
matthew 25: ministries|matthew 25 ministries,matthew 25: ministries|matthew 25 ministries,Matthew 25: Ministries,,,,Top Charities List,,
midwest food bank,midwest food bank,Midwest Food Bank,,,,Top Charities List,,
cedars sinai medical center|cedars sanai,cedars sinai medical center|cedars sanai,Cedars-Sinai Medical Center,,,,Top Charities List,,
heart to heart international,heart to heart international,Heart to Heart International,,,,Top Charities List,,
jdrf international,jdrf international,JDRF International,,,,Top Charities List,,
environmental defense fund,environmental defense fund,Environmental Defense Fund,,,,Top Charities List,,
uja/federation of new york,uja/federation of new york,UJA/Federation of New York,,,,Top Charities List,,
path foundation,path foundation,PATH Foundation,,,,Top Charities List,,
wycliffe bible translators,wycliffe bible translators,Wycliffe Bible Translators,,,,Top Charities List,,
easter seals,easter seals,Easter Seals,,,,Top Charities List,,
national multiple sclerosis society,national multiple sclerosis society,National Multiple Sclerosis Society,,,,Top Charities List,,
boston children's hospital,boston children's hospital,Boston Children's Hospital,,,,Top Charities List,,
smithsonian institution|smithsonian,smithsonian institution|smithsonian,Smithsonian Institution,,,,Top Charities List,,
metropolitan museum of art|moma,metropolitan museum of art|moma,Metropolitan Museum of Art,,,,Top Charities List,,
teach for america,teach for america,Teach for America,,,,Top Charities List,,
childfund international,childfund international,ChildFund International,,,,Top Charities List,,
scholarship america,scholarship america,Scholarship America,,,,Top Charities List,,
delivering good,delivering good,Delivering Good,,,,Top Charities List,,
educational media foundation,educational media foundation,Educational Media Foundation,,,,Top Charities List,,
the arc,the arc,The Arc,,,,Top Charities List,,
convoy of hope,convoy of hope,Convoy of Hope,,,,Top Charities List,,
susan g. komen|susan g komen,susan g. komen|susan g komen,Susan G. Komen,,,,Top Charities List,,
junior achievement usa,junior achievement usa,Junior Achievement USA,,,,Top Charities List,,
helen keller interntional,helen keller interntional,Helen Keller Interntional,,,,Top Charities List,,
smile train,smile train,Smile Train,,,,Top Charities List,,
city of hope,city of hope,City of Hope,,,,Top Charities List,,
humane society of the united states|humane society,humane society of the united states|humane society,Humane Society of the United States,,,,Top Charities List,,
barack obama foundation,barack obama foundation,Barack Obama Foundation,,,,Top Charities List,,
st. mary's food bank alliance,st. mary's food bank alliance,St. Mary's Food Bank Alliance,,,,Top Charities List,,
mercy corps,mercy corps,Mercy Corps,,,,Top Charities List,,
wgbh educational foundation,wgbh educational foundation,WGBH Educational Foundation,,,,Top Charities List,,
paralyzed veterans of america,paralyzed veterans of america,Paralyzed Veterans of America,,,,Top Charities List,,
ronald mcdonald house charities,ronald mcdonald house charities,Ronald McDonald House Charities,,,,Top Charities List,,
metropolitan opera association,metropolitan opera association,Metropolitan Opera Association,,,,Top Charities List,,
covenant house,covenant house,Covenant House,,,,Top Charities List,,