sector_group,terms
academic,academic
academic,alumna
academic,alumni
academic,alumno
academic,colegio
academic,college
academic,colleges
academic,demonstrator
academic,doctorant
academic,doctorate
academic,estudiante
academic,faculty
academic,facultad
academic,fellow
academic,freshman
academic,graduate
academic,instructor
academic,lecturer
academic,posdoctoral
academic,postdoc
academic,postdoctorant
academic,privatdozent
academic,prof
academic,profesor
academic,profesora
academic,professeur
academic,professor
academic,professorship
academic,reader
academic,scholar
academic,school
academic,sophomore
academic,student
academic,studentische
academic,teacher
academic,teaching
academic,undergraduate
academic,universidad
academic,universit
academic,universitat
academic,universitätsprofessor
academic,universities
academic,universitt
academic,university
academic,学生
academic,教授
business,inc
business,ltd
business,llc
business,corp
business,corporation
business,startup
business,entrepreneur
business,associates
government,government
household,personal
household,freelance
household,freelancer
household,freelancing
nonprofit,nonprofit
nonprofit,non-profit
nonprofit,charity
nonprofit,charities